from,to,Cs
1,3,0.499963137678925
2,3,0.24990783945683395
1,3,0.499963137678925
1,2,0.4998525303625967
1,4,0.39979353454272143
1,5,0.3330711426127143
1,6,0.2853982346456404
1,7,0.2496312500453922
1,8,0.22180154347382988
2,3,0.24990783945683395
1,2,0.4998525303625967
2,4,0.7998229682916844
2,5,0.6663388147122152
2,6,0.5709648692557592
2,7,0.4994097956537458
2,8,0.44373396152047767
2,9,0.3991735864113486
2,10,0.36269717275835417
2,11,0.3065340780606457
2,12,0.265295134981973
2,13,0.24852327451529221
2,14,0.23371292914049377
2,15,0.22053717038312126
1,4,0.39979353454272143
2,4,0.7998229682916844
4,5,0.8331078765285104
4,6,0.7138640572866571
4,7,0.6244004179080013
4,8,0.5547902212263727
4,9,0.49907742367530444
4,10,0.4534718145604485
4,11,0.3832524073612962
4,12,0.3316923187997566
4,13,0.31072285289094026
4,14,0.2922058235457698
4,15,0.275732479718805
1,5,0.3330711426127143
2,5,0.6663388147122152
4,5,0.8331078765285104
5,6,0.8568686929971998
5,7,0.7494832728143499
5,8,0.6659284311872508
5,9,0.5990549816368531
5,10,0.5443134404754724
5,11,0.46002734838887416
5,12,0.39813849820012537
5,13,0.3729683293665353
5,14,0.3507418808274465
5,15,0.3309685185882034
1,6,0.2853982346456404
2,6,0.5709648692557592
4,6,0.7138640572866571
5,6,0.8568686929971998
6,7,0.8746769241769919
6,8,0.777165085653826
6,9,0.6991210981713516
6,10,0.6352355324962854
6,11,0.5368702954705541
6,12,0.4646435345974607
6,13,0.4352689419214831
6,14,0.40932978844238477
6,15,0.386253484685646
1,7,0.2496312500453922
2,7,0.4994097956537458
4,7,0.6244004179080013
5,7,0.7494832728143499
6,7,0.8746769241769919
7,8,0.8885167359194739
7,9,0.7992906624685158
7,10,0.7262516192410088
7,11,0.6137926823389224
7,12,0.5312173235102284
7,13,0.4976339604832262
7,14,0.4679782638915902
7,15,0.4415956040558435
1,8,0.22180154347382988
2,8,0.44373396152047767
4,8,0.5547902212263727
5,8,0.6659284311872508
6,8,0.777165085653826
7,8,0.8885167359194739
8,9,0.8995786237401333
8,10,0.8173752838650288
8,11,0.6908059888188198
8,12,0.5978698003482206
8,13,0.5600726923486186
8,14,0.5266960598185096
8,15,0.49700313590476397
2,9,0.3991735864113486
4,9,0.49907742367530444
5,9,0.5990549816368531
6,9,0.6991210981713516
7,9,0.7992906624685158
8,9,0.8995786237401333
9,10,0.9086201720386242
9,11,0.7679217475696455
9,12,0.6646109462477966
9,13,0.6225944876502647
9,14,0.5854919691496132
9,15,0.5524843774504098
2,10,0.36269717275835417
4,10,0.4534718145604485
5,10,0.5443134404754724
6,10,0.6352355324962854
7,10,0.7262516192410088
8,10,0.8173752838650288
9,10,0.9086201720386242
10,11,0.8451515508913907
10,12,0.7314507939622816
10,13,0.6852087448745294
10,14,0.6443748302835662
10,15,0.6080476688194464
2,11,0.3065340780606457
4,11,0.3832524073612962
5,11,0.46002734838887416
6,11,0.5368702954705541
7,11,0.6137926823389224
8,11,0.6908059888188198
9,11,0.7679217475696455
10,11,0.8451515508913907
11,12,0.8654670197206789
11,13,0.8107525143293319
11,14,0.7624370204419988
11,15,0.7194540058266848
2,12,0.265295134981973
4,12,0.3316923187997566
5,12,0.39813849820012537
6,12,0.4646435345974607
7,12,0.5312173235102284
8,12,0.5978698003482206
9,12,0.6646109462477966
10,12,0.7314507939622816
11,12,0.8654670197206789
12,13,0.9367803692750701
12,14,0.8809544477940568
12,15,0.8312899156560369
2,13,0.24852327451529221
4,13,0.31072285289094026
5,13,0.3729683293665353
6,13,0.4352689419214831
7,13,0.4976339604832262
8,13,0.5600726923486186
9,13,0.6225944876502647
10,13,0.6852087448745294
11,13,0.8107525143293319
12,13,0.9367803692750701
13,14,0.9404066061672339
13,15,0.8873904096638284
2,14,0.23371292914049377
4,14,0.2922058235457698
5,14,0.3507418808274465
6,14,0.40932978844238477
7,14,0.4679782638915902
8,14,0.5266960598185096
9,14,0.5854919691496132
10,14,0.6443748302835662
11,14,0.7624370204419988
12,14,0.8809544477940568
13,14,0.9404066061672339
14,15,0.9436241768659188
2,15,0.22053717038312126
4,15,0.275732479718805
5,15,0.3309685185882034
6,15,0.386253484685646
7,15,0.4415956040558435
8,15,0.49700313590476397
9,15,0.5524843774504098
10,15,0.6080476688194464
11,15,0.7194540058266848
12,15,0.8312899156560369
13,15,0.8873904096638284
14,15,0.9436241768659188
16,27,0.9436241768659188
17,27,0.8873904096638284
18,27,0.8312899156560369
19,27,0.7194540058266848
20,27,0.6080476688194464
21,27,0.5524843774504098
22,27,0.49700313590476397
23,27,0.4415956040558435
24,27,0.386253484685646
25,27,0.3309685185882034
26,27,0.275732479718805
16,27,0.9436241768659188
16,17,0.9404066061672339
16,18,0.8809544477940568
16,19,0.7624370204419988
16,20,0.6443748302835662
16,21,0.5854919691496132
16,22,0.5266960598185096
16,23,0.4679782638915902
16,24,0.40932978844238477
16,25,0.3507418808274465
16,26,0.2922058235457698
17,27,0.8873904096638284
16,17,0.9404066061672339
17,18,0.9367803692750701
17,19,0.8107525143293319
17,20,0.6852087448745294
17,21,0.6225944876502647
17,22,0.5600726923486186
17,23,0.4976339604832262
17,24,0.4352689419214831
17,25,0.3729683293665353
17,26,0.31072285289094026
18,27,0.8312899156560369
16,18,0.8809544477940568
17,18,0.9367803692750701
18,19,0.8654670197206789
18,20,0.7314507939622816
18,21,0.6646109462477966
18,22,0.5978698003482206
18,23,0.5312173235102284
18,24,0.4646435345974607
18,25,0.39813849820012537
18,26,0.3316923187997566
19,27,0.7194540058266848
16,19,0.7624370204419988
17,19,0.8107525143293319
18,19,0.8654670197206789
19,20,0.8451515508913907
19,21,0.7679217475696455
19,22,0.6908059888188198
19,23,0.6137926823389224
19,24,0.5368702954705541
19,25,0.46002734838887416
19,26,0.3832524073612962
20,27,0.6080476688194464
16,20,0.6443748302835662
17,20,0.6852087448745294
18,20,0.7314507939622816
19,20,0.8451515508913907
20,21,0.9086201720386242
20,22,0.8173752838650288
20,23,0.7262516192410088
20,24,0.6352355324962854
20,25,0.5443134404754724
20,26,0.4534718145604485
20,28,0.22663140689376765
21,27,0.5524843774504098
16,21,0.5854919691496132
17,21,0.6225944876502647
18,21,0.6646109462477966
19,21,0.7679217475696455
20,21,0.9086201720386242
21,22,0.8995786237401333
21,23,0.7992906624685158
21,24,0.6991210981713516
21,25,0.5990549816368531
21,26,0.49907742367530444
21,28,0.2494237018591459
22,27,0.49700313590476397
16,22,0.5266960598185096
17,22,0.5600726923486186
18,22,0.5978698003482206
19,22,0.6908059888188198
20,22,0.8173752838650288
21,22,0.8995786237401333
22,23,0.8885167359194739
22,24,0.777165085653826
22,25,0.6659284311872508
22,26,0.5547902212263727
22,28,0.2772672618899384
22,29,0.22180154347382988
23,27,0.4415956040558435
16,23,0.4679782638915902
17,23,0.4976339604832262
18,23,0.5312173235102284
19,23,0.6137926823389224
20,23,0.7262516192410088
21,23,0.7992906624685158
22,23,0.8885167359194739
23,24,0.8746769241769919
23,25,0.7494832728143499
23,26,0.6244004179080013
23,28,0.31205631889759594
23,29,0.2496312500453922
24,27,0.386253484685646
16,24,0.40932978844238477
17,24,0.4352689419214831
18,24,0.4646435345974607
19,24,0.5368702954705541
20,24,0.6352355324962854
21,24,0.6991210981713516
22,24,0.777165085653826
23,24,0.8746769241769919
24,25,0.8568686929971998
24,26,0.7138640572866571
24,28,0.3567675221239185
24,29,0.2853982346456404
24,30,0.21403947026593134
25,27,0.3309685185882034
16,25,0.3507418808274465
17,25,0.3729683293665353
18,25,0.39813849820012537
19,25,0.46002734838887416
20,25,0.5443134404754724
21,25,0.5990549816368531
22,25,0.6659284311872508
23,25,0.7494832728143499
24,25,0.8568686929971998
25,26,0.8331078765285104
25,28,0.4163619525834215
25,29,0.3330711426127143
25,30,0.24979261351847618
26,27,0.275732479718805
16,26,0.2922058235457698
17,26,0.31072285289094026
18,26,0.3316923187997566
19,26,0.3832524073612962
20,26,0.4534718145604485
21,26,0.49907742367530444
22,26,0.5547902212263727
23,26,0.6244004179080013
24,26,0.7138640572866571
25,26,0.8331078765285104
26,28,0.49976955483648333
26,29,0.39979353454272143
26,30,0.2998322552888838
20,28,0.22663140689376765
21,28,0.2494237018591459
22,28,0.2772672618899384
23,28,0.31205631889759594
24,28,0.3567675221239185
25,28,0.4163619525834215
26,28,0.49976955483648333
28,29,0.7999557609577228
28,30,0.5999410175895651
22,29,0.22180154347382988
23,29,0.2496312500453922
24,29,0.2853982346456404
25,29,0.3330711426127143
26,29,0.39979353454272143
28,29,0.7999557609577228
29,30,0.7499677443053899
24,30,0.21403947026593134
25,30,0.24979261351847618
26,30,0.2998322552888838
28,30,0.5999410175895651
29,30,0.7499677443053899
